hour,day_shift,week_day,weekend,ESCRITORIO_AR_CONDICIONADO-006,ESCRITORIO_SENSOR_PRESENCA-007,ESCRITORIO_LAMPADA-005,mode,switch,temp_set,mode_Y,switch_Y,temp_set_Y
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
8,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
9,1,2,0,AUTO,ON,ON,AUTO,ON,26.0,AUTO,ON,26.0
